sex,age,bmi,avg4,max4,min4,avg3,max3,min3,avg2,max2,min2,avg1,max1,min1
0,20,1,98.42857142857144,117.0,82.0,159.42857142857142,171.0,144.0,535.8571428571429,593.0,464.0,553.2857142857143,659.0,290.0
0,23,1,92.72727272727272,162.0,80.0,206.0909090909091,216.0,195.0,540.0,594.0,473.0,557.6363636363636,658.0,293.0
0,23,1,68.75,122.0,38.0,173.75,187.0,161.0,525.6,589.0,470.0,564.25,657.0,291.0
0,21,1,40.47368421052632,478.0,0.0,100.21052631578948,478.0,51.0,560.0555555555555,735.0,410.0,637.0,870.0,209.0
0,21,1,105.66666666666669,126.0,91.0,164.5,185.0,149.0,529.0,592.0,477.0,535.8333333333334,658.0,289.0
0,21,1,72.72727272727273,142.0,57.0,179.16666666666666,192.0,165.0,538.2727272727273,594.0,470.0,559.3636363636364,661.0,294.0
0,21,1,111.96666666666668,140.0,46.0,156.5,177.0,131.0,569.258064516129,642.0,483.0,602.4,727.0,288.0
0,21,1,109.28571428571428,128.0,83.0,162.85714285714286,186.0,145.0,680.0,784.0,617.0,769.4285714285714,927.0,400.0
0,21,1,112.83333333333331,162.0,82.0,177.72727272727272,230.0,123.0,553.0909090909091,609.0,484.0,568.8181818181819,675.0,293.0
0,21,1,131.0,303.0,0.0,199.72727272727272,303.0,0.0,476.45454545454544,605.0,0.0,507.9090909090909,670.0,0.0
0,21,1,118.7,144.0,90.0,190.1,219.0,157.0,556.6,609.0,495.0,561.6,675.0,299.0
0,21,1,68.0,103.0,30.0,124.25,167.0,77.0,542.0,600.0,487.0,575.25,669.0,299.0
0,21,1,84.5,119.0,64.0,162.22222222222223,200.0,144.0,549.1111111111111,610.0,493.0,546.1111111111111,674.0,293.0
0,21,1,100.0,141.0,83.0,184.88888888888889,215.0,166.0,552.3333333333334,613.0,495.0,548.8888888888889,675.0,295.0
0,21,1,87.875,112.0,74.0,168.44444444444446,195.0,146.0,544.5555555555555,605.0,477.0,545.1111111111111,672.0,293.0
0,21,1,186.48387096774192,194.0,177.0,218.38709677419357,225.0,209.0,304.6774193548387,320.0,289.0,320.48387096774195,336.0,304.0
0,21,1,59.36363636363637,112.0,42.0,164.8181818181818,189.0,144.0,447.8333333333333,493.0,396.0,459.6363636363636,559.0,220.0
0,21,1,63.35714285714285,95.0,48.0,114.21428571428572,146.0,97.0,526.6428571428571,657.0,445.0,795.2857142857143,960.0,443.0
1,23,2,131.3846153846154,170.0,112.0,153.82051282051282,197.0,128.0,317.3589743589744,337.0,282.0,345.7435897435897,369.0,293.0
1,24,0,151.97222222222223,165.0,144.0,174.0,193.0,159.0,316.80555555555554,334.0,299.0,337.69444444444446,356.0,320.0
